

0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
