

0.421 (+/-0.548) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.532 (+/-0.352) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.343 (+/-0.159) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.579 (+/-0.369) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.421 (+/-0.193) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.347 (+/-0.186) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.454 (+/-0.288) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.338 (+/-0.301) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.347 (+/-0.365) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.495 (+/-0.401) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.491 (+/-0.436) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.458 (+/-0.297) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.380 (+/-0.183) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.227 (+/-0.308) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.343 (+/-0.159) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.537 (+/-0.189) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.389 (+/-0.157) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.380 (+/-0.407) for {'epochs': 5, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}
